"Chasing Liberty","2004","14844"
"My Baby's Daddy","2004","26710"
"Along Came Polly","2004","5966"
"Teacher's Pet","2004","24034"
"Torque","2004","10718"
"The Butterfly Effect","2004","1954"
"Win a Date with Tad Hamilton!","2004","13476"
"The Big Bounce","2004","12634"
"The Perfect Score","2004","13505"
"You Got Served","2004","14114"
"Barbershop 2: Back in Business","2004","21301"
"Catch That Kid","2004","20483"
"Miracle","2004","14292"
"Pinocchio 3000","2004","23056"
"50 First Dates","2004","1824"
"Against the Ropes","2004","8842"
"Confessions of a Teenage Drama Queen","2004","11132"
"EuroTrip","2004","9352"
"Welcome to Mooseport","2004","16784"
"The Passion of the Christ","2004","615"
"Club Dread","2004","11217"
"Twisted","2004","13572"
"Hidalgo","2004","2023"
"Starsky & Hutch","2004","9384"
"Agent Cody Banks 2: Destination London","2004","17047"
"Secret Window","2004","1586"
"Spartan","2004","11169"
"Dawn of the Dead","2004","924"
"Eternal Sunshine of the Spotless Mind","2004","38"
"Taking Lives","2004","11081"
"Jersey Girl","2004","9541"
"The Ladykillers","2004","5516"
"Never Die Alone","2004","20304"
"Scooby-Doo 2: Monsters Unleashed","2004","11024"
"Hellboy","2004","1487"
"Home on the Range","2004","13700"
"The Prince and Me","2004","11137"
"Walking Tall","2004","11358"
"Johnson Family Vacation","2004","19084"
"The Whole Ten Yards","2004","2122"
"The Alamo","2004","10733"
"Ella Enchanted","2004","14442"
"The Girl Next Door","2004","10591"
"Shaun of the Dead","2004","747"
"Connie and Carla","2004","15673"
"Kill Bill: Volume 2","2004","393"
"The Punisher","2004","7220"
"13 Going on 30","2004","10096"
"Clifford's Really Big Movie","2004","19016"
"Man on Fire","2004","9509"
"Bobby Jones: Stroke of Genius","2004","24747"
"Envy","2004","10710"
"Godsend","2004","11058"
"Laws of Attraction","2004","11141"
"Mean Girls","2004","10625"
"New York Minute","2004","11025"
"Off the Lip","2004","279709"
"Super Size Me","2004","9372"
"Van Helsing","2004","7131"
"Breakin' All the Rules","2004","16428"
"Carandiru","2004","8440"
"Coffee and Cigarettes","2004","883"
"Troy","2004","652"
"Shrek 2","2004","809"
"Stateside","2004","43670"
"The Day After Tomorrow","2004","435"
"Love Me If You Dare","2004","8424"
"Raising Helen","2004","4599"
"Soul Plane","2004","12657"
"Harry Potter and the Prisoner of Azkaban","2004","673"
"The Chronicles of Riddick","2004","2789"
"Garfield: The Movie","2004","8920"
"Napoleon Dynamite","2004","8193"
"The Stepford Wives","2004","9890"
"Around the World in 80 Days","2004","10204"
"DodgeBall: A True Underdog Story","2004","9472"
"The Terminal","2004","594"
"White Chicks","2004","12153"
"Fahrenheit 9/11","2004","1777"
"The Notebook","2004","11036"
"Two Brothers","2004","1997"
"Spider-Man 2","2004","558"
"Before Sunset","2004","80"
"King Arthur","2004","9477"
"Anchorman: The Legend of Ron Burgundy","2004","8699"
"Sleepover","2004","9893"
"House of Flying Daggers","2004","9550"
"A Cinderella Story","2004","11247"
"I, Robot","2004","2048"
"Asambhav","2004","196852"
"The Bourne Supremacy","2004","2502"
"Catwoman","2004","314"
"A Home at the End of the World","2004","18923"
"Thunderbirds","2004","14623"
"Garden State","2004","401"
"Harold & Kumar Go to White Castle","2004","11282"
"She Hate Me","2004","20912"
"The Manchurian Candidate","2004","982"
"The Village","2004","6947"
"Collateral","2004","1538"
"Little Black Book","2004","14846"
"Open Water","2004","83"
"The Princess Diaries 2: Royal Engagement","2004","11130"
"Alien vs. Predator","2004","395"
"Yu-Gi-Oh! The Movie: Pyramid of Light","2004","11052"
"Exorcist: The Beginning","2004","11026"
"Without a Paddle","2004","10762"
"Anacondas: The Hunt for the Blood Orchid","2004","11237"
"Layer Cake","2004","4836"
"Suspect Zero","2004","8080"
"5x2","2004","4974"
"Vanity Fair","2004","11632"
"The Cookout","2004","18475"
"Paparazzi","2004","15644"
"Wicker Park","2004","11208"
"Cellular","2004","9759"
"Criminal","2004","14198"
"Resident Evil: Apocalypse","2004","1577"
"Funky Monkey","2004","63459"
"Ghost in the Shell 2: Innocence","2004","12140"
"Mr. 3000","2004","16232"
"Sky Captain and the World of Tomorrow","2004","5137"
"Wimbledon","2004","11823"
"First Daughter","2004","13969"
"The Forgotten","2004","10145"
"The Last Shot","2004","26486"
"I Heart Huckabees","2004","1599"
"Ladder 49","2004","11128"
"Shark Tale","2004","10555"
"Bride and Prejudice","2004","57825"
"Taxi","2004","11045"
"Around the Bend","2004","15503"
"Friday Night Lights","2004","13416"
"Raise Your Voice","2004","14024"
"Shall We Dance?","2004","4380"
"Team America: World Police","2004","3989"
"The Grudge","2004","1970"
"Sideways","2004","9675"
"Surviving Christmas","2004","15566"
"Ray","2004","1677"
"Saw","2004","176"
